"Path","Model","SourceStem","Case","Feature","PlanPath","ExecutedAt","BaseUrl","OverallStatus","TotalMethods","PassMethods","FailMethods","BlockedMethods","TotalSteps","ExecutedSteps","PassedSteps","FailedSteps","BlockedSteps","FailedTools","LocatorFailures","Notes"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_1/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:18","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_10/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:17","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_2/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:18","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_3/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:18","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_4/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_5/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_6/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_7/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_8/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_9/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
