"Path","Model","SourceStem","Case","FileName","TestMethodCount","ActionCount","MethodsWithNoActions","WarningCount","Actionable","Error"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","LoginTest.java","3","18","0","0","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","AuditLogTest.java","3","15","0","9","True",""
