"Path","Model","SourceStem","Case","FileName","PlanPath","TestMethodCount","TotalStepCount","Generated","Error"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-plan.json","3","28","True",""
