"Path","Model","SourceStem","Case","FileName","TestMethod","ActionCount","WarningCount","ActionTypes","Warnings"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","LoginTest.java","testLoginWithMFA","7","0","fill, fill, fill, click, fill, click, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","LoginTest.java","testLoginWithFailedAttempts","6","0","fill, fill, fill, click, assert_text, assert_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","LoginTest.java","testNormalLogin","5","0","fill, fill, fill, click, assert_text",""
